I1,I2,I1MAX,I1MIN,I1VAR,I2MAX,I2MIN,I2VAR,I3,I4,I3max,I3min,I3var,I4MAX,I4MIN,I5,I6,Itotal1,Itotalmax1,Itotalmin1,Vdcmean1,Vdcmax1,Vdcmin1,Pdcmean1,IR,T,range 1,range 2,range 3,range 4,class
3.4641316,3.4641316,3.7765148,3.4331252,0.0000537,3.7765148,3.4331252,0.0000537,3.7550503,3.7550503,3.7822917,3.7456528,0.0000541,3.7822917,3.7456528,3.7550503,3.7550503,426.8767281,457.3892155,394.661225,513.5227994,514.3694146,509.0026546,169.6033726,660,22,0.3433895,0.3433895,0,0,1
2.2447658,2.2447658,2.6117139,2.2109781,0.0003504,2.6117139,2.2109781,0.0003504,2.5721215,2.5721215,2.6146183,2.5536216,0.0003815,2.6146183,2.5536216,2.5721215,2.5721215,426.4354417,457.1222608,394.5751681,516.9592373,521.9705933,503.2414309,116.9540966,450,15,0.4007358,0.4007358,0,0,1
3.8783603,3.8783603,4.1012817,3.8540984,0.00001,4.1012817,3.8540984,0.00001,4.0945769,4.0945769,4.1067998,4.0889552,0.0000079,4.1067998,4.0889552,4.0945769,4.0945769,426.9477648,457.3887517,394.5936285,511.4592136,511.8370394,509.3789122,184.2133069,720,24,0.2471833,0.2471833,0,0,1
2.8163886,2.8163886,3.2857933,2.7581493,0.0001924,3.2857933,2.7581493,0.0001924,3.2477592,3.2477592,3.2893375,3.2333209,0.000204,3.2893375,3.2333209,3.2477592,3.2477592,426.7386021,457.3362302,394.6921942,515.7579197,518.0284779,507.378348,147.2836352,570,19,0.5276441,0.5276441,0,0,1
1.2387984,1.2387984,5.4556666,0.1415195,0.0011532,5.4556666,0.1415195,0.0011532,5.4656402,5.4656402,5.4724416,5.4573355,0.0000075,5.4724416,5.4573355,5.4656402,5.4656402,497.6608565,499.9100717,493.5714013,500.3345985,500.8274176,500.1270364,238.6088437,960,32,5.3141471,5.3141471,0,0,1
4.9673611,4.9673611,5.1144876,4.9476632,0.000008,5.1144876,4.9476632,0.000008,5.1196134,5.1196134,5.1260988,5.1109103,0.000007,5.1260988,5.1109103,5.1196134,5.1196134,467.5491241,469.4110273,464.0493693,503.5296038,503.7541382,503.2983797,226.776132,900,30,0.1668243,0.1668243,0,0,1
3.1570378,3.1570378,4.7795389,2.7537744,0.0001707,4.7795389,2.7537744,0.0001707,4.7799068,4.7799068,4.7905678,4.7700818,0.0000122,4.7905678,4.7700818,4.7799068,4.7799068,440.5913292,457.2664732,434.6030114,506.0834761,506.6830268,505.3939547,212.0838227,840,28,2.0257645,2.0257645,0,0,1
2.2574978,2.2574978,2.7813673,2.1838207,0.0003585,2.7813673,2.1838207,0.0003585,2.7415176,2.7415176,2.7844594,2.7238151,0.0003594,2.7844594,2.7238151,2.7415176,2.7415176,426.5186394,457.1973054,394.6202581,516.7775651,521.019926,504.4295616,124.5387868,480,16,0.5975466,0.5975466,0,0,1
3.0897215,3.0897215,4.2656913,2.8053826,0.000084,4.2656913,2.8053826,0.000084,4.2659384,4.2659384,4.2718112,4.261447,0.0000028,4.2718112,4.261447,4.2659384,4.2659384,426.9819555,457.3957757,394.5550222,510.1714929,510.3921199,509.125012,190.9560747,750,25,1.4603088,1.4603088,0,0,1
2.9252459,2.9252459,4.4338576,2.545096,0.0001454,4.4338576,2.545096,0.0001454,4.4375346,4.4375346,4.4448142,4.4300063,0.0000088,4.4448142,4.4300063,4.4375346,4.4375346,427.8399591,457.3411241,404.6857783,508.8197058,509.1691759,508.3840434,197.955711,780,26,1.8887616,1.8887616,0,0,1
